,HumanEval_ID,Name,FunctionCall,Predicted,Actual,Matched,Distance
0,HumanEval/0,has_close_elements,"[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3",[dnopqropqropqropqropqropqrnopqropqropqropqropqropqrnopqropqropqropqropqropqrnopqropqropqropqropqropqrnopqropqropqropqropqropqrnopqropqropqropqropqropqru],[nopopqropqropqropqropqronopqropopqropqropqropqrs],False,0.019704433497536946
1,HumanEval/1,separate_paren_groups,"('( ) (( )) (( )( ))',)",[dnoprsturrvwxzABrstursturrvwxzABrstursturrvwxrvwxzABrD],[noprstursvrsvwxzABrsvrsturstursvrsvwxzrsvwxzABrsvrsturstursvrsvwxzrstursvrsvwxzrsvwxzABrD],False,0.7465753424657534
2,HumanEval/10,make_palindrome,'x',[ivyAfAD],[vyAfD],False,0.8666666666666667
3,HumanEval/100,make_a_pile,"(3,)",[br],[r],False,0.8333333333333334
4,HumanEval/101,words_string,"""One, two, three, four, five, six""",[bmprsvrsvrsvrstrsvrsvrsvrstrsvrsvrsvrstrsvrsvrsvrsvrstrsvrsvrsvrsvrstrsvrsvxy],[mprsvrsvrsvrstrsvrsvrsvrsvrstrsvrsvrsvrsvrsvrsvrstrsvrsvrsvrsvrsvrstrsvrsvrsvrsvrsvrstrsvrsvrsvrsvrxy],False,0.5911602209944752
5,HumanEval/102,choose_num,"7, 7",[bmoqr],[moqr],False,0.9166666666666666
6,HumanEval/103,rounded_avg,"1, 5",[boqrsrsrsrsrsrt],[oqrsrsrsrsrsrt],False,0.96875
7,HumanEval/104,unique_digits,"[12345, 2033, 111, 151]",[bpqrqrqrsqrsqt],[pqrqrqrsqrsqt],False,0.9666666666666667
8,HumanEval/105,by_length,"[2, 1, 1, 4, 5, 8, 2, 3]",[bzABCDEFGHIJKLMNOMNOMNOMNOMNOMNOMNOMNOR],[ABCDEFGHIzKLMNOMNOMNOMNOMNOMNOMNOMNOMR],False,0.95
9,HumanEval/106,f,5,[bmnotuuvnopqqqrnotuuuvnopqqqqrnotuuuuuvnw],[mnotuvnopqrnotuvnopqrnotuvnw],False,0.8194444444444444
10,HumanEval/107,even_odd_palindrome,3,[bDEGHBIGHJBKGHBIGL],[ADEGHBIGHJBKGHBIGL],False,0.9743589743589743
11,HumanEval/108,count_nums,"[-1, -2, 0]",[btnopqrsnopqrsnoqrs],[ntopqrstopqrstopqrst],False,0.8571428571428571
12,HumanEval/109,move_one_ball,"[4, 3, 1, 2]",[bEGHJKLMNP],[EGHJKLMNMNMNO],False,0.7692307692307693
13,HumanEval/11,string_xor,"('1', '1')",[dlrlmnr],[lrmnr],False,0.8666666666666667
14,HumanEval/110,exchange,"[3, 2, 6, 1, 8, 9], [3, 5, 5, 1, 1, 1]",[],[qrstustststuststusvwvwvwvwvwvwvyA],False,0.08333333333333333
15,HumanEval/111,histogram,'a b b a',[abba],[qrsuvwuvuvuvuxyzByzByzByzByC],False,0.2
16,HumanEval/112,reverse_delete,"('abcdedcba', '')",[bop],[op],False,0.875
17,HumanEval/113,odd_count,['1234567'],[bpqrsqt],[pqrsqt],False,0.9375
18,HumanEval/114,minSubArraySum,"[1, -1]",[blmnopqrnoprnsuv],[lmnopqrnoprnsuv],False,0.9705882352941176
19,HumanEval/115,max_fill,"([[1, 1, 1, 1], [1, 1, 1, 1]], 9)",[bcdefghijklmnopqrstuvwxyzABCDEFGHIJKLM],[deM],False,0.20454545454545456
20,HumanEval/116,sort_array,"([1, 5, 2, 3, 4],)",[bo],[o],False,0.8333333333333334
21,HumanEval/117,select_words,"""simple white space"", 2",[qrstuvtutuvtuvtuvtuwrstuvtutuvtutuvwrstuvtuvtutuvwy],[qrstuvtutuvtuvtuvtutwrstuvtuvtutuvtutwrstuvtuvtutuvtutwry],False,0.6756756756756757
